FID,PathDesign,PathDescription,RouteID,RouteDescription,Statement,geom
activetravel_routesection_approvedroutes.363,or_cycle_nonseg,"Cycle route (on road, not segregated)",A002,Llangefni:A002 - Llangefni - Lôn Las Cefni,,"MULTILINESTRING ((245961.82851734516 375439.75140969205, 245959.2395180396 375440.61040945956, 245950.33552042802 375440.321409537, 245943.73052219977 375440.32140953396, 245935.11452451086 375439.75140969007))"
activetravel_routesection_approvedroutes.365,tf_shared_away,Shared use footpath/cycle track (away from road),A002,Llangefni:A002 - Llangefni - Lôn Las Cefni,,"MULTILINESTRING ((245984.23951133224 375580.48737157177, 245995.33050835723 375575.5633729054, 246000.59050694638 375572.14337383484))"
activetravel_routesection_approvedroutes.379,tf_shared,Shared use footpath/cycle track (alongside road),NPT-PT-C0090,Port Talbot:NPT-PT-C0090 - Afan Way,,"MULTILINESTRING ((274369.0573731621 191317.68992746942, 274372.4611367201 191316.30782247428))"
activetravel_routesection_approvedroutes.389,tf_shared_away,Shared use footpath/cycle track (away from road),NPT-PT-C0040,Port Talbot:NPT-PT-C0040 - Civic Centre to Route 887,,"MULTILINESTRING ((276661.12622876046 190283.70257511444, 276661.5072286576 190284.86357479845, 276668.5772267455 190286.10557446227, 276672.3392257281 190287.19357416872, 276671.00922608864 190294.2355722579, 276685.8042220915 190331.28556222114, 276687.8742215321 190335.21056115918, 276706.3132165475 190356.81355531025, 276726.4992110905 190379.3155492149, 276743.1342065929 190393.23554544657, 276746.18420576805 190393.66054532764, 276754.88920341304 190389.45054647117, 276762.2672014175 190388.4805467364))"
activetravel_routesection_approvedroutes.450,or_cycle_nonseg,"Cycle route (on road, not segregated)",NPT-PT-C00130,Port Talbot:NPT-PT-C00130 - NCN4 The Quays to Baglan Train Station,,"MULTILINESTRING ((274573.0347937446 192723.91991358413, 274656.0347712886 192619.9199417759, 274670.0347674999 192592.91994909442, 274671.89276699687 192589.20395010134, 274685.0347634402 192562.91995722597, 274729.0347515377 192523.9199677974))"
activetravel_routesection_approvedroutes.460,tf_shared_away,Shared use footpath/cycle track (away from road),Pow-New-P0060,Newtown:Pow-New-P0060 - Rail Station - Dolfor Road junction,,"MULTILINESTRING ((310690.147881152 291137.6001723589, 310680.4143957186 291133.05538952665, 310668.63221010007 291126.0051650938))"
activetravel_routesection_approvedroutes.472,tf_footway,Footway (alongside road),VALE-BA-P0150,Barry:VALE-BA-P0150 - Romilly School to Barry Railway Station,,"MULTILINESTRING ((310509.0812088496 167665.4042408574, 310525.4304485635 167646.28255696793, 310542.5912356316 167623.20397810574, 310546.3584419214 167612.62784687482, 310546.706457408 167607.3648725974, 310536.34909313655 167567.68839455105, 310528.41654671094 167541.10760446952, 310521.4830156858 167515.30214751133, 310512.5579936898 167482.17104651796, 310508.8233316719 167469.53351898794, 310508.9752414139 167453.32422556146, 310513.1135976987 167438.79843179078, 310520.8173476244 167427.27406541543, 310529.0192689679 167419.24440610193, 310552.11549139 167434.1704980904, 310579.1825883731 167449.90185290202, 310593.33236070245 167455.3460459918, 310616.28989435174 167462.38925123028, 310624.90156634315 167452.60275525477, 310648.41181086015 167415.83408733906, 310676.09621475346 167368.01994541747, 310689.34510893456 167347.20223415026, 310705.2364230426 167326.77376588254, 310713.9252100639 167321.3643007899, 310709.8657661702 167315.3033757122, 310706.5795163729 167303.0967829401, 310701.53183904034 167290.921045642, 310680.76191291894 167233.46721276507, 310679.78309317067 167230.88453467662, 310690.2631981256 167227.41538844496, 310698.3779359576 167226.83469013177))"
activetravel_routesection_approvedroutes.491,tf_shared,Shared use footpath/cycle track (alongside road),Pow-Yst-C0020,"Ystradgynlais:Pow-Yst-C0020 - Woodland Industrial Park to  Pantyffynon Road, Ystradgynlais",,"MULTILINESTRING ((277679.75895551237 209693.15331604815, 277705.25394861784 209703.86431314907))"
activetravel_routesection_approvedroutes.514,tf_footway,Footway (alongside road),Pow-Yst-P0030,Ystradgynlais :Pow-Yst-P0030 - Maecynog Estate to Ystradgynlais Town Centre  via footpath link,,"MULTILINESTRING ((278816.72190713405 210039.6742201472, 278842.5637114955 210097.84954513412))"
activetravel_routesection_approvedroutes.521,or_cycle_nonseg,"Cycle route (on road, not segregated)",Gwyn-Ban-C0020,Bangor:Gwyn-Ban-C0020 - Rail Station - College (via Convent Lane) - Schools - NCN5,,"MULTILINESTRING ((256769.0396126907 371345.87151964364, 256805.0396029976 371313.8715283183, 256821.0395986895 371299.8715321086, 256826.03959734325 371296.8715329213, 256840.03959357372 371289.871534815, 256917.03957284198 371259.8715429559))"
activetravel_routesection_approvedroutes.523,tf_foot,Footpath (away from road),Pow-Yst-P0150,Ystradgynlais:Pow-Yst-P0150 - Cwmtwrch to Ysgol Gymraeg Dyffryn y Glowyr (via Bethel Road),,"MULTILINESTRING ((277234.9280383382 209822.35798015143, 277261.25750769983 209808.71334984782, 277260.217056301 209826.76364808384, 277263.8989867142 209856.22257948958, 277267.6754293293 209865.29045992333, 277268.90298902796 209867.03340599593))"
activetravel_routesection_approvedroutes.547,tf_segregated,Segregated footpath/cycle track (alongside road),Gwyn-Ban-C0070,Bangor:Gwyn-Ban-C0070 - Porth Penthyn - Hirael,,"MULTILINESTRING ((259112.5489816014 372484.7182113912, 259119.03897985295 372480.8712124348))"
activetravel_routesection_approvedroutes.563,tf_shared,Shared use footpath/cycle track (alongside road),Gwyn-Ban-C0110,Bangor:Gwyn-Ban-C0110 - Ysbyty Gwynedd - Parc Menai,,"MULTILINESTRING ((255012.03308557233 370049.40387064917, 255012.6780853988 370047.4268711867))"
activetravel_routesection_approvedroutes.671,or_cycle_nonseg,"Cycle route (on road, not segregated)",Pow-New-C0120,Newtown:Pow-New-C0120  - Dolfor Road (A483 crossing) - Mochdre Ind. Est.,,"MULTILINESTRING ((309585.2273261828 290215.2905036999, 309500.0253492596 290150.8935211338, 309485.0253533224 290139.89352411294, 309470.02535738493 290126.8935276321, 309441.02536523854 290096.89353575883))"
activetravel_routesection_approvedroutes.764,or_cycle_segregated,"Cycle lane (on road, segregated)",WX-WRE-C008,Wrexham:WX-WRE-C008 - The Beeches to Plas Coch Lane,,"MULTILINESTRING ((333130.5713831377 351302.6740122621, 333121.7499622914 351301.9001433135, 333114.39423854614 351303.07894443034, 333108.49921787635 351305.85173337423, 333103.5205806411 351309.8673502101, 333101.2335505043 351313.48668353545, 333099.07877058035 351313.6961097687))"
activetravel_routesection_approvedroutes.778,or_cycle_nonseg,"Cycle route (on road, not segregated)",DB-RHY-P017,Rhyl:DB-RHY-P017 - St Margaret Drive to Rhyl College,,"MULTILINESTRING ((302571.6667434481 381315.19860827166, 302589.4450549636 381310.5548224619, 302618.30704971997 381288.5665234434, 302639.51266920526 381276.7203853788, 302673.8156397289 381276.01776918676, 302675.11204505153 381199.67502867756, 302630.07406783546 381199.88430058304, 302641.37615554815 381158.28458057716, 302669.3771498768 381059.28190483333, 302677.9964041434 381026.29523658636, 302674.55369153223 380997.8349696932, 302667.6834921774 380976.57747129526, 302663.3223448151 380973.1004088512))"
activetravel_routesection_approvedroutes.803,or_cycle_segregated,"Cycle lane (on road, segregated)",,,,"MULTILINESTRING ((334161.1290130216 350749.189956084, 334211.17284137546 350779.1791898125))"
activetravel_routesection_approvedroutes.837,tf_footway,Footway (alongside road),Pow-Yst-P0010,Ystradgynlais :Pow-Yst-P0010 - Ystradgynlais Town Centre Pedestrian Routes (Includes footpath links),,"MULTILINESTRING ((278719.6954911465 210188.01038319553, 278737.7871753399 210201.1646124501, 278754.6716856437 210213.46249406663, 278776.2139835388 210228.78231369785, 278779.6613016314 210230.47191665933, 278784.5318820932 210229.76351118792))"
activetravel_routesection_approvedroutes.894,ped_zone,Pedestrian zone,M1,"Mold:M1 - High Street, Mold",,"MULTILINESTRING ((323758.2155820639 363966.1275431507, 323674.88487031194 363914.1410703183))"
activetravel_routesection_approvedroutes.906,tf_footway,Footway (alongside road),BNH1,Northop Hall:BNH1 - B5125 through Northop Hall with spurs,,"MULTILINESTRING ((327113.02055471117 367770.8724503373, 327133.89954906324 367876.36042176664, 327138.7805477417 367887.72041868785, 327152.0205441561 367909.87241268955, 327156.02054307284 367916.87241079117, 327157.02054280223 367919.8724099814, 327157.02054280264 367925.8724083538, 327155.0205433452 367931.8724067302, 327151.02054442954 367936.8724053774, 327141.0205471396 367942.8724037521))"
activetravel_routesection_approvedroutes.917,tf_foot,Footpath (away from road),BUCQ2,Connahs Quay:BUCQ2 - Wepre Lane via Ffordd Llanarth to North Connahs Quay,,"MULTILINESTRING ((328550.0520703837 368283.6392158486, 328547.8496613308 368328.0013212613, 328525.2199396019 368348.3597965566, 328473.33156262944 368424.9247791514, 328495.363373665 368460.34276708495))"
activetravel_routesection_approvedroutes.933,tf_footway,Footway (alongside road),BUCQ3,Connahs Quay:BUCQ3 - Bryn Road and Englefield Avenue,,"MULTILINESTRING ((328684.5212276709 369585.3575856465, 328691.4094844443 369590.79422640346, 328699.0301138096 369597.2921084659, 328708.4710008459 369605.72845525277, 328725.73019233614 369621.910620584, 328734.10980205465 369631.2563188566))"
activetravel_routesection_approvedroutes.960,tf_foot,Footpath (away from road),FL5,Flint:FL5 - Residential area  to Flint High School,,"MULTILINESTRING ((324079.04340706737 372154.08130747103, 324082.17840621836 372160.9953055958, 324111.6663982285 372171.929302636, 324111.4733982814 372180.05230043654, 324139.7443906204 372181.8362999565))"
activetravel_routesection_approvedroutes.1045,tf_footway,Footway (alongside road),FLG1,Carmel:FLG1 - Carmel to School,,"MULTILINESTRING ((316263.4907299984 376722.4455059699, 316279.7237213089 376791.0419673414))"
activetravel_routesection_approvedroutes.1056,ped_zone,Pedestrian zone,FLH1,Holywell:FLH1 - High Street,,"MULTILINESTRING ((318713.7688310217 375780.4362798229, 318690.02283745573 375799.5152746443, 318687.0868382514 375801.8662740086, 318665.03984422534 375819.51626922534, 318648.7728486332 375833.3702654723, 318624.18485529564 375852.26626035274, 318553.76887437754 375933.3272383867, 318528.8288811359 375961.18923083704))"
activetravel_routesection_approvedroutes.1071,tf_foot,Footpath (away from road),M6,Mold:M6 - Ruthin Rd into Town Centre & Tesco/Homebase/ McDonald/Aldi/ St David's School,,"MULTILINESTRING ((324079.38040626026 364306.4464333447, 324083.1344052418 364293.8754367517, 324070.1334087648 364291.69443733816, 324062.5514108192 364288.90343809716, 324052.8614134445 364282.11843993614, 324040.04041691805 364273.40944229404, 324032.40841898596 364270.17744316394, 324033.33241873543 364267.9954437591))"
activetravel_routesection_approvedroutes.1086,tf_shared_away,Shared use footpath/cycle track (away from road),NPT-LBA-C001,Lower Brynamman:NPT-LBA-C001 - Lower Brynamman to Twyn Via Amman Valley Cycle route.,,"MULTILINESTRING ((269216.8015394374 213375.76676752273, 269151.5170415483 213370.08498352277))"
activetravel_routesection_approvedroutes.1101,tf_shared_away,Shared use footpath/cycle track (away from road),MCC-S4,Caldicot-Magor:MCC-S4 - Caldicot Castle,,"MULTILINESTRING ((348713.7526015422 188393.54221271537, 348766.408796865 188381.88751370524, 348887.84051169234 188335.43390798097, 348929.94257875823 188309.0599003458))"
activetravel_routesection_approvedroutes.1153,or_cycle_nonseg,"Cycle route (on road, not segregated)",NPT-CWM-C001,Cwmavon:NPT-CWM-C001 - Ty'r-Owen Road (Cwmafan Infants & Junior School) to Cwmavon Road,,"MULTILINESTRING ((277796.41288314015 191816.080113295, 277804.6271324043 191822.17146745225, 277812.24350647116 191829.77143761003))"
activetravel_routesection_approvedroutes.1215,tf_cycle_away,Cycle track (away from road),Wrex-Llay-C0010,Llay:Wrex-Llay-C0010 - Llay New Road,,"MULTILINESTRING ((333007.4569858584 355717.8877608822, 333001.73598741007 355729.1557578311, 333002.5939871776 355729.9557576127, 333002.0589873232 355737.4307555887, 333004.8969865551 355746.9567530082))"
activetravel_routesection_approvedroutes.1302,tf_footway,Footway (alongside road),Wrex-Ruab-P0020,Ruabon:Wrex-Ruab-P0020 - Ruabon - Station Link,,"MULTILINESTRING ((330161.0197561267 343728.87900844775, 330158.85275671486 343736.7390063172, 330151.2927587647 343746.11900377896, 330123.9927661662 343773.13899645524, 330117.9727677983 343779.0189948633, 330088.8947756812 343801.50398876716, 330080.1447780527 343804.0039880899, 330069.6447808984 343803.50398822245, 330055.5327847221 343793.9989907942, 330054.81178491743 343792.874991102))"
activetravel_routesection_approvedroutes.1313,tf_footway,Footway (alongside road),,,,"MULTILINESTRING ((294656.6644431805 377538.7299754445, 294655.0551964428 377538.7655990498))"
activetravel_routesection_approvedroutes.1323,tf_shared_away,Shared use footpath/cycle track (away from road),ACR2,Abergele:ACR2 - Pensarn to Dundonald Rd (Parc Pentre Mawr),,"MULTILINESTRING ((294889.181849251 378348.07136092085, 294861.3223035929 378317.63963407575))"
activetravel_routesection_approvedroutes.1350,tf_foot,Footpath (away from road),AWR11,Abergele:AWR11 - Heol Aled / Sunningdale to Town Hall,,"MULTILINESTRING ((293908.0318387448 377995.60000826436, 293939.4263326843 377943.5069581636))"
activetravel_routesection_approvedroutes.1376,tf_footway,Footway (alongside road),PBWR02,Penrhyn Bay:PBWR02 - Penrhyn Beach to Rhos Promenade,,"MULTILINESTRING ((284281.53404672345 380855.34684650454, 284270.87248933804 380869.0727154448, 284264.0205508885 380877.71170365793, 284229.79813179764 380922.42173558153, 284206.0255621685 380959.38603215787, 284192.94448603765 380991.4870189055, 284181.7886763988 381032.6025150293, 284173.3454806189 381052.9624231008, 284153.6531926141 381088.57814828114, 284144.4173245531 381105.7468385909, 284132.71482091 381124.4024328069, 284109.4284429636 381151.90127280704, 284079.6318462839 381176.3485182225, 284066.9716473113 381185.03974987316, 284023.13899445726 381205.72749303223, 283952.37920071476 381236.525366725, 283855.5477011991 381253.87157135806, 283830.58603847265 381256.6217110789, 283761.8369847833 381259.90745991806, 283742.0568394012 381262.53136505367))"
activetravel_routesection_approvedroutes.1389,tf_foot,Footpath (away from road),PE3,Penyffordd:PE3 - Hazel Drive to Penymynydd Road and links,,"MULTILINESTRING ((330501.09564179374 362091.34947353584, 330494.20149700437 362086.0804703816, 330480.7614943689 362074.8215075374, 330480.40275174705 362074.8267250812))"
activetravel_routesection_approvedroutes.1414,tf_foot,Footpath (away from road),PE6,Penyffordd:PE6 - New housing estate linking to Corwen Road and Vownog Hill,,"MULTILINESTRING ((329972.3035617258 361546.4171389153, 329948.1013203676 361609.0618490228, 329942.97976827214 361651.37918162317, 329926.4405801087 361698.15926323214, 329925.71254539845 361697.4539738225))"
activetravel_routesection_approvedroutes.1454,tf_footway,Footway (alongside road),M16,Mold:M16 - Bryn Hilyn Lane to Industrial Estate & Links,,"MULTILINESTRING ((323977.9884336499 363366.41968798253, 324000.0214276785 363360.873689488, 324021.02142198716 363354.87369111826, 324045.42441537336 363347.4446931305, 324080.3834058986 363334.13969673874, 324104.577399341 363320.6537003978, 324123.81439412676 363309.9447032998, 324138.0213902759 363300.8737057563, 324182.62837818475 363268.27671459207, 324190.0213761808 363262.8737160577, 324209.6723708543 363249.87371957995, 324255.02135856217 363219.8737277126, 324281.0803514989 363204.4397318941))"
activetravel_routesection_approvedroutes.1455,tf_foot,Footpath (away from road),M16,Mold:M16 - Bryn Hilyn Lane to Industrial Estate & Links,,"MULTILINESTRING ((324164.0003832305 363243.7237212415, 324168.8113819275 363252.213718944, 324179.1283791327 363263.48671588715, 324182.62837818475 363268.27671459207))"
activetravel_routesection_approvedroutes.1456,tf_foot,Footpath (away from road),M16,Mold:M16 - Bryn Hilyn Lane to Industrial Estate & Links,,"MULTILINESTRING ((324281.6093513557 363205.4577316203, 324285.7113502438 363203.3257321985, 324288.7013494334 363200.91373284906, 324293.51134812983 363200.30373301555, 324310.53134351637 363189.03373606957, 324312.94134286285 363184.39373732917, 324315.3863421992 363173.49374028045, 324319.96634095703 363160.97874367266, 324322.1463403652 363150.828746421, 324322.15634036204 363145.388747895, 324323.01834012836 363144.27674819465, 324328.3463386845 363143.5137484082, 324342.6083348189 363137.9307499177))"
activetravel_routesection_approvedroutes.1457,tf_foot,Footpath (away from road),M16,Mold:M16 - Bryn Hilyn Lane to Industrial Estate & Links,,"MULTILINESTRING ((324322.5804262621 363143.75370131666, 324318.2631088166 363131.6538183661))"
activetravel_routesection_approvedroutes.1458,tf_footway,Footway (alongside road),M17,Mold:M17 - Clayton Road to New Street,,"MULTILINESTRING ((323387.0215938573 364020.87351063534, 323394.0215919585 363999.8735163243, 323400.02159033075 363980.02752169967, 323407.0215884317 363956.8735279738))"
activetravel_routesection_approvedroutes.1470,tf_footway,Footway (alongside road),CONWR2,Conwy:CONWR2 - Meirion Drive to Morfa Drive,,"MULTILINESTRING ((277310.82564976544 378073.66473998403, 277330.92003974976 378082.7847778152, 277336.3252210143 378084.25179104164, 277344.57270321436 378084.93162138294, 277359.39416588494 378083.83570138033, 277372.89054108935 378079.9182561212, 277441.61934006674 378053.16014109104, 277528.6362825582 378020.9346780442, 277531.87777650857 378028.70455514995))"
activetravel_routesection_approvedroutes.1471,no_footway,Road without footway,CONCR2,Conwy:CONCR2 - Morfa Drive to Town Ditch Road,,"MULTILINESTRING ((278123.45752561855 377782.6174185923, 278127.02970596787 377775.3862741465, 278131.1291767993 377767.7846358602))"
activetravel_routesection_approvedroutes.1472,no_footway,Road without footway,CONCR2,Conwy:CONCR2 - Morfa Drive to Town Ditch Road,,"MULTILINESTRING ((278099.1298189142 377758.9348261324, 278102.16888032184 377765.81818960205, 278109.91231318825 377767.76177200803))"
activetravel_routesection_approvedroutes.1484,tf_footway,Footway (alongside road),LLJWR2,Llandudno Junction:LLJWR2 - Underpass to Conwy Road,,"MULTILINESTRING ((279920.0476165926 377891.1004961349, 279927.8427784353 377888.048081821, 279936.840045931 377883.0020339711, 279995.5381802519 377862.8499599069, 280006.1908379974 377866.68648366723))"
activetravel_routesection_approvedroutes.1508,tf_footway,Footway (alongside road),DUDNOWR9,Llandudno:DUDNOWR9 - Maesdu Road to Links Hotel Roundabout,,"MULTILINESTRING ((278601.9211154586 381323.55182980525, 278624.15816443024 381340.1955730306, 278673.63390258705 381376.833459693, 278717.10596957424 381409.4333609486, 278772.8253713122 381452.6006114994))"
activetravel_routesection_approvedroutes.1531,tf_footway,Footway (alongside road),CONWR6,Conwy:CONWR6 - Mount Pleasant car park to Bangor Road,,"MULTILINESTRING ((277957.35324006464 377576.6303625772, 277981.9483865651 377551.90226162644, 277996.6146582404 377565.62781498866))"
activetravel_routesection_approvedroutes.1537,or_cycle_nonseg,"Cycle route (on road, not segregated)",DUDNOCR3,Llandudno:DUDNOCR3 - Pen Morfa to Maesdu Road,,"MULTILINESTRING ((277629.9821870724 381445.2256528634, 277623.7428943739 381452.8772387714, 277567.77704493114 381417.933545206, 277529.8618286223 381403.57144107245, 277466.1904404821 381388.8032662829, 277464.82540959225 381391.33547706675, 277451.8709273439 381526.8635434982, 277445.2331833745 381588.3880076264, 277369.8825763987 381578.2034231711, 277356.89933468786 381573.9012311722))"
activetravel_routesection_approvedroutes.1547,tf_segregated_away,Segregated footpath/cycle track (away from road),SWA-NCN4-004,Swansea:SWA-NCN4-004 - Swansea Promenade,,"MULTILINESTRING ((264070.36463175574 192162.41806416062, 264015.02764669695 192156.16006584925, 263997.42265145056 192154.81406621204, 263952.32066362735 192144.13106909674, 263938.56166734226 192141.25506987685, 263895.82867887866 192121.82007513382, 263831.1796963309 192087.47008443304, 263796.49870569305 192069.27908935753, 263772.84171207936 192057.36909257981, 263768.6567132091 192055.03609321156, 263754.45971704274 192058.3030923225, 263737.6807215725 192050.91509432532, 263734.1367225279 192037.65509791556, 263706.58772996475 192024.22610155313, 263626.78775150643 191982.27011290722, 263559.46276968054 191948.77012197586, 263549.6877723195 191945.4451228754, 263529.8127776846 191934.89512573218, 263519.1127805726 191927.07012784854, 263506.6257839433 191919.20712997514, 263448.212799711 191887.37013859674, 263090.89689615974 191690.86619178654, 263062.37890385743 191675.29919600225, 262926.3139405832 191600.78121617314, 262838.7529642168 191552.7572291742, 262823.71096827486 191524.90823671623, 262727.1089943459 191449.44825714995, 262700.0730016419 191425.44826364756, 262646.4090161236 191374.2232775172, 262641.5300174402 191369.7512787301, 262629.9440205672 191363.45028043562, 262625.6750217193 191358.97828164906, 262619.98302325496 191350.44028395932, 262568.96203702275 191296.166298659, 262553.10604130186 191284.37730185088, 262516.72105111973 191241.68931341375, 262486.63605923776 191209.36932216422, 262476.67606192554 191200.83132447512, 262434.78207322967 191152.20933764335, 262426.8740753636 191142.492340279, 262408.98608019063 191127.0433444602, 262396.9930834275 191120.13234633493, 262392.72408457927 191115.86334748607, 262391.7070848533 191109.3583492519, 262384.79608671804 191100.4143516702, 262336.01109988184 191046.54636626504, 262325.84710262454 191038.41636846593, 262308.97510717646 191014.8363748468, 262213.23313301045 190914.0124021558, 262177.45714266435 190878.8464116804, 262171.86814417236 190873.86641302885, 262137.31115349752 190845.0014208423, 262126.74115634992 190837.07342299214, 262078.36216940594 190808.81843063742, 262063.893173311 190802.85243225313, 262038.93518004607 190786.91743656748, 261972.8751978741 190753.7274455498, 261970.36919855044 190752.15744597284, 261966.43619961184 190752.11744598288, 261964.8282000462 190752.91744577046))"
